order_id,customer_id,order_date,status
1,1451,2025-04-14,cancelled
2,113,2024-12-08,returned
3,101,2024-05-04,returned
4,621,2024-11-03,completed
5,769,2024-10-03,returned
6,193,2024-06-27,cancelled
7,3297,2025-02-15,cancelled
8,2244,2024-05-05,completed
9,893,2024-10-10,completed
10,365,2024-12-10,cancelled
11,3185,2024-08-31,cancelled
12,3065,2025-05-01,completed
13,2201,2024-10-25,completed
14,690,2024-06-13,completed
15,1375,2024-09-05,cancelled
16,2228,2024-07-25,returned
17,100,2024-07-30,cancelled
18,146,2024-08-24,returned
19,1747,2025-02-01,returned
20,2915,2024-10-02,completed
21,2477,2025-04-13,returned
22,1196,2024-05-15,completed
23,868,2024-05-01,returned
24,314,2024-06-06,returned
25,3170,2025-04-12,returned
26,1123,2025-03-09,returned
27,2527,2024-10-29,returned
28,1588,2025-01-21,cancelled
29,2723,2024-06-02,returned
30,2980,2024-08-15,returned
31,1186,2024-07-14,cancelled
32,1226,2024-06-23,cancelled
33,2148,2024-12-14,returned
34,1951,2024-08-09,returned
35,1203,2024-09-08,cancelled
36,1276,2024-08-31,returned
37,1984,2024-08-22,returned
38,833,2024-09-04,returned
39,134,2024-07-11,completed
40,3199,2024-11-17,completed
41,110,2024-10-03,returned
42,941,2025-05-01,completed
43,548,2024-10-15,returned
44,811,2024-10-22,returned
45,971,2025-04-08,cancelled
46,2504,2024-10-28,cancelled
47,952,2024-05-27,returned
48,822,2025-02-17,returned
49,1346,2024-10-26,completed
50,2337,2025-01-16,completed
51,2810,2024-07-02,returned
52,474,2024-09-23,completed
53,989,2024-05-23,cancelled
54,487,2025-04-22,completed
55,2597,2024-08-14,returned
56,3283,2024-07-07,completed
57,2287,2025-02-17,completed
58,2047,2025-03-29,cancelled
59,2639,2024-09-14,returned
60,416,2025-03-02,returned
61,727,2025-01-21,cancelled
62,296,2024-05-19,completed
63,513,2025-03-26,returned
64,2251,2024-08-11,cancelled
65,3147,2025-04-08,completed
66,1839,2025-04-27,cancelled
67,877,2024-12-29,completed
68,2858,2025-02-25,cancelled
69,565,2024-09-09,cancelled
70,3427,2024-10-30,completed
71,2644,2025-01-09,cancelled
72,533,2024-07-13,returned
73,3331,2025-02-09,returned
74,446,2024-09-01,completed
75,383,2024-07-12,cancelled
