payment_id,order_id,method,amount,payment_date
1,1,paypal,1630.48,2025-04-06
2,2,paypal,2712.25,2025-01-15
3,3,credit_card,4847.21,2024-11-27
4,4,credit_card,2281.0,2025-03-27
5,5,credit_card,3530.44,2024-07-26
6,7,gift_card,5142.77,2025-02-08
7,8,paypal,6802.43,2024-07-14
8,9,gift_card,3965.93,2025-03-14
9,10,bank_transfer,2328.1,2024-12-17
10,12,credit_card,3860.38,2025-01-04
11,13,credit_card,863.5,2025-02-28
12,14,gift_card,3656.43,2024-05-13
13,16,gift_card,1151.45,2024-05-26
14,17,paypal,6910.52,2024-09-03
15,18,credit_card,944.11,2024-12-17
16,19,paypal,5327.08,2024-05-08
17,20,gift_card,2731.98,2024-09-02
18,21,paypal,746.84,2024-08-20
19,22,credit_card,3363.88,2024-09-14
20,23,credit_card,4447.26,2025-02-14
21,24,paypal,3128.29,2024-06-15
22,25,gift_card,4173.96,2024-10-18
23,27,paypal,1105.07,2024-09-28
24,28,paypal,2899.46,2024-09-04
25,29,credit_card,2232.85,2024-12-02
26,30,credit_card,65.4,2024-09-22
27,31,credit_card,1373.47,2024-08-19
28,32,bank_transfer,2150.46,2024-05-16
29,33,paypal,3695.94,2024-09-03
30,34,paypal,3310.27,2025-02-09
31,35,paypal,2479.73,2024-12-07
32,36,bank_transfer,1062.33,2024-05-30
33,37,paypal,2188.36,2024-12-12
34,38,gift_card,5434.59,2024-07-29
35,39,gift_card,1219.96,2024-08-17
36,40,paypal,1939.6,2024-08-29
37,41,paypal,1899.75,2025-04-26
38,42,bank_transfer,2249.84,2024-07-14
39,43,gift_card,454.9,2024-08-24
40,44,gift_card,1525.77,2024-10-09
41,45,bank_transfer,246.31,2024-06-21
42,46,credit_card,2653.39,2025-03-31
43,47,bank_transfer,1710.54,2025-01-12
44,48,paypal,577.17,2025-02-13
45,49,paypal,3641.36,2025-04-03
46,50,bank_transfer,1433.15,2024-11-02
47,51,gift_card,2936.45,2024-06-12
48,52,credit_card,1078.41,2024-06-25
49,53,gift_card,2028.68,2024-07-15
50,54,gift_card,3261.32,2024-12-23
51,55,credit_card,1798.97,2024-08-02
52,56,credit_card,2335.9,2024-08-04
53,57,paypal,3789.51,2025-04-30
54,59,paypal,4132.45,2025-04-19
55,60,credit_card,1269.75,2024-05-22
56,61,bank_transfer,2932.14,2025-02-28
57,62,credit_card,1423.68,2025-02-23
58,63,gift_card,1972.8,2024-10-08
59,64,paypal,929.76,2024-09-09
60,66,bank_transfer,2486.97,2024-07-21
61,68,paypal,3500.2,2025-04-09
62,69,credit_card,458.17,2025-03-05
63,71,gift_card,3690.13,2025-04-07
64,73,paypal,4497.84,2024-09-24
65,74,bank_transfer,5611.79,2024-12-24
66,76,gift_card,2605.4,2024-08-31
67,77,credit_card,3016.44,2025-04-30
68,78,bank_transfer,2484.96,2025-04-19
69,79,credit_card,3867.58,2025-03-16
70,80,credit_card,882.04,2024-12-14
71,81,credit_card,539.64,2025-01-17
72,82,paypal,4097.77,2024-11-28
73,83,paypal,2919.83,2024-05-08
74,84,paypal,2046.4,2024-12-09
75,85,credit_card,1342.95,2024-10-03
76,86,credit_card,715.78,2025-03-13
77,87,gift_card,2384.54,2024-07-03
78,88,bank_transfer,750.58,2024-11-13
79,89,bank_transfer,2641.15,2024-07-14
80,92,gift_card,736.71,2024-06-17
81,93,paypal,2065.57,2024-12-17
82,94,credit_card,298.23,2024-10-07
83,95,credit_card,1951.57,2025-04-22
84,96,gift_card,652.24,2024-05-02
85,97,credit_card,1441.23,2024-11-21
86,98,bank_transfer,1487.18,2024-11-08
87,99,paypal,3928.42,2024-12-05
88,100,paypal,4838.36,2024-11-07
89,102,paypal,2775.86,2025-01-03
90,103,bank_transfer,4287.48,2024-09-07
91,105,paypal,4976.07,2024-11-01
92,107,bank_transfer,2545.18,2025-01-12
93,108,gift_card,5745.86,2025-03-30
94,109,paypal,337.68,2024-12-04
95,110,bank_transfer,5451.51,2024-06-27
96,111,credit_card,1928.56,2025-02-28
97,112,credit_card,1655.1,2025-01-28
98,113,paypal,2191.51,2025-03-02
99,114,credit_card,130.55,2024-11-04
100,115,gift_card,3199.6,2024-07-15
101,117,bank_transfer,1560.44,2025-03-27
102,118,gift_card,653.36,2025-05-02
103,119,gift_card,1057.93,2024-10-14
104,120,paypal,2585.77,2024-08-05
105,121,bank_transfer,1754.92,2024-05-20
106,122,bank_transfer,488.03,2024-12-16
107,123,bank_transfer,682.35,2025-04-27
108,124,paypal,3348.28,2024-10-30
109,125,credit_card,644.55,2024-10-24
110,126,gift_card,2976.84,2024-07-26
111,127,bank_transfer,6033.48,2024-12-13
112,129,credit_card,5648.57,2025-03-15
113,130,gift_card,1123.28,2024-11-20
114,131,gift_card,2359.13,2025-02-09
115,132,bank_transfer,447.96,2024-08-06
116,133,bank_transfer,4202.52,2025-04-05
117,134,paypal,773.22,2024-10-19
118,135,bank_transfer,1815.99,2025-03-25
119,136,paypal,1845.32,2024-09-29
120,139,gift_card,410.72,2024-12-10
121,140,paypal,792.71,2024-11-10
122,141,paypal,1885.79,2025-01-13
123,142,credit_card,3236.06,2024-12-11
124,143,gift_card,2867.56,2024-11-10
125,144,paypal,2439.27,2024-11-15
126,145,gift_card,2549.66,2025-03-12
127,146,credit_card,6430.31,2024-09-05
128,147,credit_card,3672.69,2025-04-29
129,148,bank_transfer,3297.24,2024-09-08
130,149,bank_transfer,2418.54,2024-05-05
131,150,bank_transfer,2692.13,2025-03-06
132,151,paypal,2857.52,2025-04-09
133,152,paypal,1927.35,2025-02-17
134,153,credit_card,3417.24,2024-05-22
135,155,gift_card,3359.91,2025-01-08
136,156,bank_transfer,736.32,2024-08-23
137,157,gift_card,4833.86,2024-08-17
138,158,gift_card,767.66,2024-09-20
139,159,paypal,432.78,2025-01-14
140,160,bank_transfer,3686.57,2024-05-20
141,161,paypal,2426.68,2024-10-21
142,162,gift_card,2237.83,2025-01-29
143,163,credit_card,2748.15,2024-06-24
144,164,paypal,421.85,2024-12-20
145,165,credit_card,407.31,2024-10-03
146,166,bank_transfer,4550.93,2024-07-03
147,167,bank_transfer,691.34,2024-12-25
148,168,bank_transfer,2653.53,2025-04-15
149,169,paypal,333.2,2025-02-08
150,170,credit_card,2582.26,2025-02-28
151,171,bank_transfer,2771.08,2025-02-14
152,172,credit_card,620.8,2024-05-11
153,173,gift_card,1400.56,2025-01-24
154,175,bank_transfer,3036.47,2024-05-07
155,176,paypal,2777.55,2025-04-26
156,177,credit_card,1760.4,2024-10-20
157,178,bank_transfer,7.62,2024-12-26
158,180,gift_card,2556.73,2025-02-01
159,181,paypal,983.45,2024-07-13
160,182,paypal,1160.54,2025-01-26
161,183,gift_card,4069.73,2024-06-27
162,184,paypal,2436.78,2024-10-06
163,185,bank_transfer,4094.07,2024-09-19
164,186,gift_card,879.9,2024-06-29
165,189,bank_transfer,2835.81,2024-07-01
166,190,gift_card,5495.61,2024-09-14
167,191,gift_card,1179.94,2024-08-22
168,192,paypal,4254.76,2024-09-30
169,193,paypal,4000.7,2024-08-04
170,194,gift_card,3829.32,2024-05-10
171,196,credit_card,1859.52,2024-12-29
172,197,gift_card,4114.82,2024-08-29
173,198,bank_transfer,669.26,2025-01-18
174,200,bank_transfer,1654.57,2025-02-13
175,202,gift_card,1144.58,2024-10-13
176,204,credit_card,1114.75,2024-06-19
177,205,credit_card,1296.6,2024-05-29
178,206,paypal,6837.66,2024-10-28
179,207,credit_card,1619.48,2024-10-22
180,208,credit_card,1405.65,2024-09-02
181,209,credit_card,2381.55,2024-07-20
182,211,credit_card,2900.08,2024-12-03
183,212,gift_card,4294.97,2025-03-26
184,213,bank_transfer,1359.75,2025-02-26
185,214,bank_transfer,3648.37,2025-02-08
186,215,bank_transfer,4565.36,2025-03-03
187,216,gift_card,3460.46,2024-10-19
188,217,credit_card,5816.23,2024-07-05
189,218,paypal,2183.41,2024-08-17
190,219,bank_transfer,51.1,2025-03-11
191,220,paypal,4229.57,2025-01-05
192,221,credit_card,2953.92,2024-09-01
193,222,credit_card,1776.23,2024-12-03
194,223,credit_card,3923.38,2024-06-08
195,224,gift_card,2704.18,2025-02-04
196,225,credit_card,281.33,2025-04-09
197,226,credit_card,906.51,2024-12-19
198,227,gift_card,4322.37,2025-03-04
199,228,credit_card,2746.54,2025-03-27
200,230,gift_card,436.77,2024-12-04
201,231,credit_card,2908.7,2024-10-29
202,232,credit_card,2886.84,2025-01-16
203,233,gift_card,2045.73,2024-05-14
204,234,paypal,2902.91,2024-11-14
205,235,bank_transfer,1445.67,2025-01-17
206,236,paypal,1995.78,2024-11-14
207,237,bank_transfer,2274.54,2024-08-27
208,238,paypal,1385.46,2024-05-04
209,239,bank_transfer,2185.7,2024-11-12
210,240,credit_card,3071.97,2024-09-06
211,241,bank_transfer,2829.94,2025-02-04
212,243,bank_transfer,146.57,2025-02-22
213,244,paypal,611.18,2024-07-18
214,245,paypal,1167.88,2025-01-25
215,246,bank_transfer,5078.26,2024-11-30
216,247,paypal,2274.41,2025-03-11
217,248,bank_transfer,3080.88,2024-05-03
218,249,bank_transfer,1654.25,2024-09-20
219,250,bank_transfer,1833.09,2024-07-16
220,251,paypal,5474.8,2025-02-15
221,252,paypal,3167.43,2024-10-01
222,253,credit_card,1754.4,2024-09-12
223,254,paypal,1417.3,2024-12-29
224,255,gift_card,948.16,2024-12-31
225,256,credit_card,2822.56,2024-11-03
226,257,credit_card,4312.96,2024-06-25
227,258,gift_card,291.34,2024-10-17
228,260,credit_card,2962.14,2024-07-24
229,261,credit_card,2925.78,2025-04-07
230,263,credit_card,1062.1,2024-09-24
231,266,bank_transfer,1705.48,2024-10-24
232,267,bank_transfer,1297.53,2025-02-13
233,268,bank_transfer,5029.39,2025-01-27
234,269,credit_card,3493.53,2024-05-10
235,270,credit_card,1836.22,2024-09-14
236,271,credit_card,2742.89,2024-06-01
237,272,credit_card,1691.07,2025-03-07
238,273,gift_card,1725.93,2024-07-16
239,274,gift_card,2179.95,2025-03-27
240,275,gift_card,1066.15,2024-05-18
241,276,credit_card,1662.98,2024-10-06
242,277,gift_card,1999.17,2024-12-23
243,280,bank_transfer,1604.2,2024-07-12
244,281,credit_card,722.07,2024-05-26
245,282,bank_transfer,1979.05,2025-03-02
246,283,paypal,2325.16,2024-06-19
247,284,gift_card,2242.63,2024-11-25
248,285,credit_card,4399.12,2024-06-11
249,286,paypal,1811.48,2024-09-01
250,287,bank_transfer,1704.8,2024-09-30
251,288,bank_transfer,2369.13,2024-12-02
252,289,credit_card,362.6,2024-08-03
253,290,paypal,1638.2,2024-12-01
254,292,paypal,1605.46,2025-03-01
255,293,credit_card,345.09,2024-05-11
256,294,gift_card,902.81,2025-03-21
257,295,bank_transfer,3384.95,2025-04-29
258,296,paypal,2238.8,2024-07-11
259,297,paypal,2645.69,2024-11-07
260,298,paypal,2864.62,2025-04-03
261,299,gift_card,726.34,2024-11-22
262,300,paypal,5558.01,2025-05-02
263,303,bank_transfer,1521.38,2024-10-22
264,304,bank_transfer,3043.28,2024-12-11
265,305,bank_transfer,1014.36,2025-04-08
266,306,bank_transfer,4231.87,2025-03-13
267,307,bank_transfer,1391.41,2024-12-06
268,308,bank_transfer,752.73,2025-02-27
269,310,gift_card,327.86,2024-06-13
270,311,credit_card,1679.28,2024-08-21
271,312,bank_transfer,4402.21,2025-02-07
272,314,gift_card,2411.49,2024-07-08
273,315,credit_card,2010.67,2024-08-29
274,316,gift_card,71.88,2024-06-04
275,317,credit_card,1150.41,2024-07-28
276,319,credit_card,397.82,2024-06-11
277,320,credit_card,471.05,2024-11-06
278,321,paypal,863.4,2024-08-03
279,322,gift_card,1658.09,2024-05-04
280,323,bank_transfer,5021.46,2025-04-07
281,324,paypal,4464.42,2025-04-13
282,325,gift_card,477.72,2024-10-14
283,330,bank_transfer,604.17,2025-03-21
284,331,gift_card,1394.58,2024-11-24
285,332,gift_card,2379.83,2024-09-24
286,333,paypal,1599.5,2024-11-26
287,334,credit_card,1748.19,2024-07-26
288,336,paypal,2726.62,2024-10-06
289,337,bank_transfer,1233.14,2024-12-04
290,338,bank_transfer,1255.28,2024-08-10
291,339,credit_card,2031.4,2025-01-24
292,341,paypal,2389.96,2024-11-12
293,342,bank_transfer,3206.46,2024-07-21
294,344,bank_transfer,256.48,2024-10-14
295,345,credit_card,1398.97,2025-02-27
296,347,credit_card,845.12,2025-02-22
297,348,credit_card,1168.5,2024-11-19
298,349,gift_card,737.57,2025-04-26
299,350,gift_card,3808.52,2024-06-21
300,351,gift_card,858.64,2024-10-13
301,352,gift_card,875.24,2024-10-22
302,353,credit_card,1159.0,2024-07-03
303,354,paypal,4155.36,2024-07-20
304,355,paypal,342.28,2024-11-28
305,357,bank_transfer,3810.66,2024-10-13
306,358,bank_transfer,1770.03,2024-09-08
307,359,bank_transfer,1736.72,2025-01-14
308,360,bank_transfer,5512.5,2024-10-10
309,361,gift_card,864.33,2024-05-19
310,362,paypal,2828.35,2025-04-30
311,363,gift_card,1531.8,2024-10-03
312,364,credit_card,2000.08,2024-11-02
313,366,bank_transfer,2673.92,2024-09-22
314,367,gift_card,1255.91,2025-04-29
315,368,paypal,169.28,2024-09-14
316,369,gift_card,2253.06,2024-12-06
